puzzle,method,solution-length,solution,initial-h,run-time(ms),nodes-expanded,nodes-per-second,iterations
hfnjloieabmgckdp,manhattan,62,luuldruuldldrdrulurrddlulururddluulldddrulurdruuldrurdlulddrdr,46,154547,538289739,3.48301e+06,9
pdkieocnalbgfmjh,manhattan,48,dddruurrulldrddluurrulldrulldrurdrddllulurdrurdd,34,408.028,1466105,3.59315e+06,8
knoliheamgpcjdfb,manhattan,56,dluurulddruurdddluuurdddluurdlldluuurrdllurrrdldlurdldrr,42,9506.01,33703257,3.54547e+06,8
lfgdmijbepnkhcao,manhattan,51,dluurddruldluuruldrddluurulddrurrdllurrdluuldlddrrr,35,19540.8,69386320,3.55084e+06,9
ofgjbmhpdlnieakc,manhattan,54,ulllddrdluruldrdlurrrdlluruuldrrdluullddrruruldrddlurd,40,2410.83,8680680,3.6007e+06,8
dfgnijpceomalkhb,manhattan,57,urdddlluuldrruullddrdluurrrddlluuruldrruldrddlluluurrddrd,39,178518,622379610,3.48637e+06,10
gnpjeohidlmackfb,manhattan,60,drddluldruluuldddruurrulddrdlluuldrrrullurdllurddrruullddrrd,48,4590,15850616,3.4533e+06,7
jdflabekiogmhpnc,manhattan,50,rurdluldruuulldddrurruuldldlururddluurddrdlurulddr,32,34356.7,114526718,3.33346e+06,10
hjdfebkigoamcpln,manhattan,56,urruullddrrdlluldrulurdrrulullddrrrdllurulurdldrdruuldrd,38,180487,606371492,3.35963e+06,10
fkaghipmcenjdblo,manhattan,55,rddluullddrurullddrurrulllddrruulurddruuldllurdldrrurdd,41,15165.9,49466933,3.26172e+06,8
cgmhdnibpfkjeloa,manhattan,56,rulurdrullddrrurddluldrulldruurrdlurullldrruldlurdldrrdr,36,132295,423258160,3.19935e+06,11
fgciphkedbamljon,manhattan,57,drrruuldlldrrrullulddrrrdlllurrrullulddrdrulururddlulddrr,37,188936,632519258,3.34779e+06,11
ikcfnjephlmbadgo,manhattan,56,ddluldrulluurdrurdldrdlulldruuldruulddruurrdllurrddlurdd,38,59119.2,195892305,3.31351e+06,10
cniaepgjbkfmoldh,manhattan,54,uldrurrdllurdddlulurrrulddrulldrrdlllurrdlluuurdrurddd,36,27992.9,93248895,3.33116e+06,10
kifjodncgleambhp,manhattan,56,luldrurdllurullurrrdllddruuuldddruullurrdldlurdrulurrddd,44,18813.4,62981961,3.34772e+06,7
hilkgdbaojmfpnec,manhattan,57,urrdllurrdlluuurdrrddluruulldrdruulldlurrdldlurdrrullddrr,41,71742.3,240372667,3.3505e+06,9
ejgfckabohlmdnpi,manhattan,49,rulldrrullldrrulldrruluurddluurrdlllurrrdllurdrdd,39,469.235,1480289,3.15469e+06,6
clpbmdfhjikeagno,manhattan,46,ldddluurddruuurdlldrrulddlluurrulldrrrulldddrr,28,4726.91,15588922,3.29791e+06,10
apjnomcklghibfde,manhattan,59,rdrddllluurddruruullddrrululdddluurdrrdlllurrurddlluruurddd,43,149307,501038200,3.35575e+06,9
phnclaejgomibfdk,manhattan,56,drdruullddrrdllurrulddrurulldrrululdrurdllldrdrruulldrdr,42,12570,42273256,3.36303e+06,8
ipkmelnjgdohacfb,manhattan,63,dddruuulddrurddluuurdluldrdlulddrurruulldlddrurullurddluurddrdr,43,649218,2188116312,3.37039e+06,11
gmjnflhodbapckie,manhattan,61,uuldddruuuldluldddruuldrdrurullurdllurdddlurrdlurruulldldrrdr,49,8390.57,27915292,3.32699e+06,7
gndfpcbljkioemah,manhattan,49,ruldrrddruuuldddrulllurrulldrrrdllldruurullddrrrd,31,27297.6,91900806,3.36663e+06,10
gdecbkjmpolafhin,manhattan,54,rurulldrrdrululddrrullddrulldrrrullluruldrdldrruuurddd,40,26955.3,90120014,3.34331e+06,8
beglphndmifojakc,manhattan,45,rddluruldrrurddluruuldluldrddrruulddruuuldrdd,29,4222.48,14404919,3.41148e+06,9
mbfjpngidackohel,manhattan,51,urddlurddrruullurddruulddldlururdruldrdlluuulddrrrd,37,717.167,2428334,3.38601e+06,8
gkldfoephajbmnic,manhattan,52,ddluuldlurdrrulullddrrrulldrdruululddrdluruuldldrdrr,34,22818.2,78030023,3.41964e+06,10
kdcaljhioenmpbfg,manhattan,61,uruldrrrullurrdlldrdlluruurdddlurrdllluuurddrruulldldrurdldrr,39,2.23736e+06,7490490958,3.34791e+06,12
eaohilkfpdmjngcb,manhattan,52,uurddrurddluuuldldrrruldrdllluurrulddrrulddruuuldddr,34,17024,57448453,3.37455e+06,10
cpdejklbmfnagohi,manhattan,53,rdldrrdllurrdlllurruuldldrdruuruldrdllurulldrruldrddr,37,50599.8,169271330,3.34529e+06,9
libcpkgfadnjmohe,manhattan,49,druuldrurdldrurddlurdlluruldlurdrurdluldrrulurddd,33,12806.8,42548774,3.32235e+06,9
camoinjedlhfbgkp,manhattan,60,lluuuldddrruuuldldrruldrdllurulurrdrulldrdrulddlluurrddruldr,40,457176,1525371862,3.33651e+06,11
mogbfhndeklijacp,manhattan,48,ulldrrululurrdllddruuulddluurddlurruldddlurdrurd,32,1908.72,6271775,3.28586e+06,9
pfkhbeiljdocmgna,manhattan,46,drrulldrddruulurdrddluurdluruldlurddlluurrdddr,30,6517.73,22057947,3.3843e+06,9
jcakpifbonlgdehm,manhattan,53,rurdldluurrdrdldruuulddldlurdrululddruuurddrulurdldrd,37,44327.8,150315927,3.39101e+06,9
hbdpkjmngloafcei,manhattan,55,lddruldlurdldrruululddrullurrdllddrruullddrrruulllddrrr,43,1743.85,5937107,3.40461e+06,7
jaehimbnlgpcfdok,manhattan,46,lluurrdrdlldrulurdrdlluulddruuurdrulddllurdrrd,36,778.661,2582710,3.31686e+06,6
onalkgfdebjpihcm,manhattan,55,lullurrdldluurddrdlulurrrulddruuldddrulldruuldldrururdd,33,99623.5,335047005,3.36313e+06,12
nkdblicfamjgehop,manhattan,50,lluulddrruululddrruruldrdlluurddluurdddlurdrulurdd,32,12720.1,43265966,3.40138e+06,10
